date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved,month,monthly_cumulative_profit,monthly_drawdown
2024-10-21,0,0.0,0.0,19.61,0.61,100.0,2024-10,1.41,0.0
2024-10-22,0,0.0,0.0,19.61,0.61,100.0,2024-10,1.41,0.0
2024-10-23,1,0.62,-0.62,18.99,1.23,99.38,2024-10,0.79,0.62
2024-10-24,0,0.0,0.0,18.99,1.23,100.0,2024-10,0.79,0.62
2024-10-25,0,0.0,0.0,18.99,1.23,100.0,2024-10,0.79,0.62
2024-10-26,0,0.0,0.0,18.99,1.23,100.0,2024-10,0.79,0.62
2024-10-27,0,0.0,0.0,18.99,1.23,100.0,2024-10,0.79,0.62
2024-10-28,0,0.0,0.0,18.99,1.23,100.0,2024-10,0.79,0.62
2024-10-29,1,2.63,-2.63,16.36,3.86,97.37,2024-10,-1.84,3.25
2024-10-30,0,0.0,0.0,16.36,3.86,100.0,2024-10,-1.84,3.25
2024-10-31,0,0.0,0.0,16.36,3.86,100.0,2024-10,-1.84,3.25
2024-11-01,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-02,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-03,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-04,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-05,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-06,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-07,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-08,0,0.0,0.0,16.36,3.86,100.0,2024-11,0.0,0.0
2024-11-09,1,1.0,1.96,18.32,1.9,99.0,2024-11,1.96,0.0
2024-11-10,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-11,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-12,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-13,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-14,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-15,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-16,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-17,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-18,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-19,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-20,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-21,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-22,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-23,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-24,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-25,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-26,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-27,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-28,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-29,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-11-30,0,0.0,0.0,18.32,1.9,100.0,2024-11,1.96,0.0
2024-12-01,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-02,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-03,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-04,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-05,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-06,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-07,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-08,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-09,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-10,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-11,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-12,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-13,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-14,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-15,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-16,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-17,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-18,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-19,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-20,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-21,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-22,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-23,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-24,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-25,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-26,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-27,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-28,0,0.0,0.0,18.32,1.9,100.0,2024-12,0.0,0.0
2024-12-29,1,0.99,2.93,21.25,0.0,99.01,2024-12,2.93,0.0
2024-12-30,0,0.0,0.0,21.25,0.0,100.0,2024-12,2.93,0.0
2024-12-31,0,0.0,0.0,21.25,0.0,100.0,2024-12,2.93,0.0
2025-01-01,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-02,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-03,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-04,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-05,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-06,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-07,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-08,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-09,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-10,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-11,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-12,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-13,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-14,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-15,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-16,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-17,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-18,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-19,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-20,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-21,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-22,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-23,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-24,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-25,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-26,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-27,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-28,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-29,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-30,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-01-31,0,0.0,0.0,21.25,0.0,100.0,2025-01,0.0,0.0
2025-02-01,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-02,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-03,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-04,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-05,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-06,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-07,0,0.0,0.0,21.25,0.0,100.0,2025-02,0.0,0.0
2025-02-08,1,0.72,-0.72,20.53,0.72,99.28,2025-02,-0.72,0.72
2025-02-09,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-10,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-11,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-12,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-13,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-14,0,0.0,0.0,20.53,0.72,100.0,2025-02,-0.72,0.72
2025-02-15,1,0.8,1.91,22.44,0.0,99.2,2025-02,1.19,0.0
2025-02-16,1,1.09,3.01,25.45,0.0,98.91,2025-02,4.2,0.0
2025-02-17,1,0.63,-0.63,24.82,0.63,99.37,2025-02,3.57,0.63
2025-02-18,0,0.0,0.0,24.82,0.63,100.0,2025-02,3.57,0.63
2025-02-19,0,0.0,0.0,24.82,0.63,100.0,2025-02,3.57,0.63
2025-02-20,0,0.0,0.0,24.82,0.63,100.0,2025-02,3.57,0.63
2025-02-21,2,2.58,-2.58,22.24,3.21,97.42,2025-02,0.99,3.21
2025-02-22,0,0.0,0.0,22.24,3.21,100.0,2025-02,0.99,3.21
2025-02-23,1,0.6,-0.6,21.64,3.81,99.4,2025-02,0.39,3.81
2025-02-24,1,1.11,3.39,25.03,0.42,98.89,2025-02,3.78,0.42
2025-02-25,0,0.0,0.0,25.03,0.42,100.0,2025-02,3.78,0.42
2025-02-26,0,0.0,0.0,25.03,0.42,100.0,2025-02,3.78,0.42
2025-02-27,0,0.0,0.0,25.03,0.42,100.0,2025-02,3.78,0.42
2025-02-28,0,0.0,0.0,25.03,0.42,100.0,2025-02,3.78,0.42
2025-03-01,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-02,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-03,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-04,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-05,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-06,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-07,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-08,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-09,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-10,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-11,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-12,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-13,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-14,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-15,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-16,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-17,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-18,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-19,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-20,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-21,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-22,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-23,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-24,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-25,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-26,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-27,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-28,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-29,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-30,0,0.0,0.0,25.03,0.42,100.0,2025-03,0.0,0.0
2025-03-31,1,0.31,0.73,25.76,0.0,99.69,2025-03,0.73,0.0
2025-04-01,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-02,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-03,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-04,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-05,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-06,0,0.0,0.0,25.76,0.0,100.0,2025-04,0.0,0.0
2025-04-07,1,0.33,-0.33,25.43,0.33,99.67,2025-04,-0.33,0.33
2025-04-08,0,0.0,0.0,25.43,0.33,100.0,2025-04,-0.33,0.33
2025-04-09,0,0.0,0.0,25.43,0.33,100.0,2025-04,-0.33,0.33
2025-04-10,0,0.0,0.0,25.43,0.33,100.0,2025-04,-0.33,0.33
2025-04-11,0,0.0,0.0,25.43,0.33,100.0,2025-04,-0.33,0.33
2025-04-12,0,0.0,0.0,25.43,0.33,100.0,2025-04,-0.33,0.33
2025-04-13,2,0.69,0.46,25.89,0.0,99.31,2025-04,0.13,0.0
2025-04-14,0,0.0,0.0,25.89,0.0,100.0,2025-04,0.13,0.0
2025-04-15,0,0.0,0.0,25.89,0.0,100.0,2025-04,0.13,0.0
2025-04-16,0,0.0,0.0,25.89,0.0,100.0,2025-04,0.13,0.0
2025-04-17,0,0.0,0.0,25.89,0.0,100.0,2025-04,0.13,0.0
2025-04-18,1,0.36,-0.36,25.53,0.36,99.64,2025-04,-0.23,0.36
2025-04-19,0,0.0,0.0,25.53,0.36,100.0,2025-04,-0.23,0.36
2025-04-20,3,0.95,0.06,25.59,0.3,99.05,2025-04,-0.17,0.3
2025-04-21,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-22,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-23,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-24,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-25,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-26,0,0.0,0.0,25.59,0.3,100.0,2025-04,-0.17,0.3
2025-04-27,2,0.9,-0.9,24.69,1.2,99.1,2025-04,-1.07,1.2
2025-04-28,0,0.0,0.0,24.69,1.2,100.0,2025-04,-1.07,1.2
2025-04-29,0,0.0,0.0,24.69,1.2,100.0,2025-04,-1.07,1.2
2025-04-30,0,0.0,0.0,24.69,1.2,100.0,2025-04,-1.07,1.2
2025-08-01,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-02,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-03,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-04,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-05,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-06,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-07,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-08,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-09,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-10,0,0.0,0.0,24.69,1.2,100.0,2025-08,0.0,0.0
2025-08-11,1,0.84,2.35,27.04,0.0,99.16,2025-08,2.35,0.0
2025-08-12,0,0.0,0.0,27.04,0.0,100.0,2025-08,2.35,0.0
2025-08-13,0,0.0,0.0,27.04,0.0,100.0,2025-08,2.35,0.0
2025-08-14,0,0.0,0.0,27.04,0.0,100.0,2025-08,2.35,0.0
2025-08-15,0,0.0,0.0,27.04,0.0,100.0,2025-08,2.35,0.0
2025-08-16,1,1.34,-1.34,25.7,1.34,98.66,2025-08,1.01,1.34
2025-08-17,1,0.96,-0.96,24.74,2.3,99.04,2025-08,0.05,2.3
2025-08-18,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-19,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-20,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-21,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-22,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-23,0,0.0,0.0,24.74,2.3,100.0,2025-08,0.05,2.3
2025-08-24,1,0.65,-0.65,24.09,2.95,99.35,2025-08,-0.6,2.95
2025-08-25,0,0.0,0.0,24.09,2.95,100.0,2025-08,-0.6,2.95
2025-08-26,0,0.0,0.0,24.09,2.95,100.0,2025-08,-0.6,2.95
2025-08-27,0,0.0,0.0,24.09,2.95,100.0,2025-08,-0.6,2.95
2025-08-28,0,0.0,0.0,24.09,2.95,100.0,2025-08,-0.6,2.95
2025-08-29,0,0.0,0.0,24.09,2.95,100.0,2025-08,-0.6,2.95
2025-08-30,1,0.7,-0.7,23.39,3.65,99.3,2025-08,-1.3,3.65
2025-08-31,2,1.25,-1.25,22.14,4.9,98.75,2025-08,-2.55,4.9
2025-09-01,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-02,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-03,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-04,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-05,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-06,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-07,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-08,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-09,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-10,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-11,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-12,0,0.0,0.0,22.14,4.9,100.0,2025-09,0.0,0.0
2025-09-13,1,0.77,1.27,23.41,3.63,99.23,2025-09,1.27,0.0
2025-09-14,2,1.89,1.55,24.96,2.08,98.11,2025-09,2.82,0.0
2025-09-15,0,0.0,0.0,24.96,2.08,100.0,2025-09,2.82,0.0
2025-09-16,0,0.0,0.0,24.96,2.08,100.0,2025-09,2.82,0.0
2025-09-17,0,0.0,0.0,24.96,2.08,100.0,2025-09,2.82,0.0
2025-09-18,0,0.0,0.0,24.96,2.08,100.0,2025-09,2.82,0.0
2025-09-19,0,0.0,0.0,24.96,2.08,100.0,2025-09,2.82,0.0
2025-09-20,2,2.13,-2.13,22.83,4.21,97.87,2025-09,0.69,2.13
2025-09-21,1,0.79,2.33,25.16,1.88,99.21,2025-09,3.02,0.0
2025-09-22,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-23,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-24,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-25,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-26,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-27,0,0.0,0.0,25.16,1.88,100.0,2025-09,3.02,0.0
2025-09-28,2,2.17,6.01,31.17,0.0,97.83,2025-09,9.03,0.0
2025-09-29,0,0.0,0.0,31.17,0.0,100.0,2025-09,9.03,0.0
2025-09-30,0,0.0,0.0,31.17,0.0,100.0,2025-09,9.03,0.0
2025-10-01,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-02,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-03,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-04,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-05,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-06,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-07,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-08,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-09,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-10,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-11,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-12,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-13,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-14,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-15,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-16,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-17,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-18,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-19,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-20,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-21,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-22,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-23,0,0.0,0.0,31.17,0.0,100.0,2025-10,0.0,0.0
2025-10-24,1,1.56,3.26,34.43,0.0,98.44,2025-10,3.26,0.0
2025-10-25,1,0.82,2.5,36.93,0.0,99.18,2025-10,5.76,0.0
2025-10-26,2,1.35,-1.35,35.58,1.35,98.65,2025-10,4.41,1.35
2025-10-27,0,0.0,0.0,35.58,1.35,100.0,2025-10,4.41,1.35
2025-10-28,0,0.0,0.0,35.58,1.35,100.0,2025-10,4.41,1.35
2025-10-29,0,0.0,0.0,35.58,1.35,100.0,2025-10,4.41,1.35
2025-10-30,0,0.0,0.0,35.58,1.35,100.0,2025-10,4.41,1.35
2025-10-31,0,0.0,0.0,35.58,1.35,100.0,2025-10,4.41,1.35
2025-11-01,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-02,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-03,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-04,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-05,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-06,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-07,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-08,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-09,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-10,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-11,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-12,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-13,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-14,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-15,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-16,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-17,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-18,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-19,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-20,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-21,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-22,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-23,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-24,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-25,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-26,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-27,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-28,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-29,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-11-30,0,0.0,0.0,35.58,1.35,100.0,2025-11,0.0,0.0
2025-12-01,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-02,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-03,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-04,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-05,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-06,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-07,0,0.0,0.0,35.58,1.35,100.0,2025-12,0.0,0.0
2025-12-08,1,0.69,2.16,37.74,0.0,99.31,2025-12,2.16,0.0
2025-12-09,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-10,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-11,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-12,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-13,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-14,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-15,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
2025-12-16,0,0.0,0.0,37.74,0.0,100.0,2025-12,2.16,0.0
