date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved,month,monthly_cumulative_profit,monthly_drawdown
2025-04-20,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-21,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-22,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-23,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-24,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-25,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-26,0,0.0,0.0,107.8,1.66,100.0,2025-04,0.0,0.0
2025-04-27,1,0.53,-0.53,107.27,2.19,99.47,2025-04,-0.53,0.53
2025-04-28,0,0.0,0.0,107.27,2.19,100.0,2025-04,-0.53,0.53
2025-04-29,0,0.0,0.0,107.27,2.19,100.0,2025-04,-0.53,0.53
2025-04-30,0,0.0,0.0,107.27,2.19,100.0,2025-04,-0.53,0.53
2025-05-01,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-02,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-03,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-04,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-05,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-06,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-07,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-08,0,0.0,0.0,107.27,2.19,100.0,2025-05,0.0,0.0
2025-05-09,2,2.07,0.8,108.07,1.39,97.93,2025-05,0.8,0.0
2025-05-10,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-11,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-12,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-13,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-14,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-15,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-16,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-17,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-18,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-19,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-20,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-21,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-22,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-23,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-24,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-25,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-26,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-27,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-28,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-29,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-30,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-05-31,0,0.0,0.0,108.07,1.39,100.0,2025-05,0.8,0.0
2025-10-01,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-02,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-03,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-04,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-05,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-06,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-07,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-08,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-09,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-10,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-11,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-12,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-13,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-14,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-15,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-16,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-17,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-18,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-19,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-20,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-21,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-22,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-23,0,0.0,0.0,108.07,1.39,100.0,2025-10,0.0,0.0
2025-10-24,1,1.57,3.28,111.35,0.0,98.43,2025-10,3.28,0.0
2025-10-25,1,0.89,2.71,114.06,0.0,99.11,2025-10,5.99,0.0
2025-10-26,2,1.92,-1.92,112.14,1.92,98.08,2025-10,4.07,1.92
2025-10-27,0,0.0,0.0,112.14,1.92,100.0,2025-10,4.07,1.92
2025-10-28,0,0.0,0.0,112.14,1.92,100.0,2025-10,4.07,1.92
2025-10-29,0,0.0,0.0,112.14,1.92,100.0,2025-10,4.07,1.92
2025-10-30,0,0.0,0.0,112.14,1.92,100.0,2025-10,4.07,1.92
2025-10-31,0,0.0,0.0,112.14,1.92,100.0,2025-10,4.07,1.92
2025-11-01,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-02,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-03,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-04,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-05,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-06,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-07,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-08,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-09,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-10,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-11,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-12,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-13,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-14,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-15,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-16,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-17,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-18,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-19,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-20,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-21,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-22,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-23,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-24,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-25,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-26,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-27,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-28,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-29,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-11-30,0,0.0,0.0,112.14,1.92,100.0,2025-11,0.0,0.0
2025-12-01,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-02,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-03,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-04,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-05,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-06,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-07,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-08,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-09,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-10,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-11,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-12,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-13,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-14,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-15,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-16,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-17,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-18,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-19,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-20,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-21,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-22,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-23,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-24,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-25,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-26,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-27,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-28,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-29,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-30,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2025-12-31,0,0.0,0.0,112.14,1.92,100.0,2025-12,0.0,0.0
2026-01-01,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-02,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-03,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-04,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-05,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-06,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-07,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-08,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-09,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-10,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-11,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-12,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-13,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-14,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-15,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-16,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-17,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-18,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-19,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-20,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-21,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-22,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-23,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-24,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-25,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-26,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-27,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-28,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-29,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-30,0,0.0,0.0,112.14,1.92,100.0,2026-01,0.0,0.0
2026-01-31,1,4.74,7.43,119.57,0.0,95.26,2026-01,7.43,0.0
2026-02-01,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-02,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-03,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-04,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-05,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-06,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-07,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-08,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-09,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-10,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-11,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-12,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-13,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-14,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-15,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-16,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-17,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-18,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-19,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-20,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-21,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-22,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-23,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-24,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-25,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-26,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-27,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-02-28,0,0.0,0.0,119.57,0.0,100.0,2026-02,0.0,0.0
2026-03-01,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-02,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-03,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-04,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-05,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-06,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-07,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-08,0,0.0,0.0,119.57,0.0,100.0,2026-03,0.0,0.0
2026-03-09,1,0.75,2.29,121.86,0.0,99.25,2026-03,2.29,0.0
2026-03-10,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-11,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-12,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-13,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-14,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-15,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-16,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-17,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-18,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-19,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-20,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-21,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-22,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-23,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-24,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-25,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-26,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-27,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-28,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-29,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-30,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-03-31,0,0.0,0.0,121.86,0.0,100.0,2026-03,2.29,0.0
2026-04-01,0,0.0,0.0,121.86,0.0,100.0,2026-04,0.0,0.0
2026-04-02,0,0.0,0.0,121.86,0.0,100.0,2026-04,0.0,0.0
2026-04-03,0,0.0,0.0,121.86,0.0,100.0,2026-04,0.0,0.0
2026-04-04,1,2.35,-2.35,119.51,2.35,97.65,2026-04,-2.35,2.35
2026-04-05,1,0.73,-0.73,118.78,3.08,99.27,2026-04,-3.08,3.08
2026-04-06,1,2.63,5.8,124.58,0.0,97.37,2026-04,2.72,0.0
2026-04-07,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-08,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-09,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-10,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-11,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-12,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-13,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-14,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-15,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-16,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-17,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-18,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-19,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-20,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-21,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-22,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-23,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-24,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-25,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-26,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-27,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-28,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-29,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
2026-04-30,0,0.0,0.0,124.58,0.0,100.0,2026-04,2.72,0.0
