test_month,date,bets,staked,profit,cumulative_profit,drawdown,cash_reserved
2026-03,2026-03-20,0,0.0,0.0,0.56,0.32,100.0
2026-03,2026-03-21,1,0.12,0.42,0.98,0.0,99.88
2026-03,2026-03-22,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-23,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-24,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-25,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-26,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-27,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-28,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-29,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-30,0,0.0,0.0,0.98,0.0,100.0
2026-03,2026-03-31,0,0.0,0.0,0.98,0.0,100.0
2026-04,2026-04-01,0,0.0,0.0,0.0,0.0,100.0
2026-04,2026-04-02,0,0.0,0.0,0.0,0.0,100.0
2026-04,2026-04-03,0,0.0,0.0,0.0,0.0,100.0
2026-04,2026-04-04,1,0.2,-0.2,-0.2,0.2,99.8
2026-04,2026-04-05,2,0.22,-0.22,-0.42,0.42,99.78
2026-04,2026-04-06,1,0.12,0.26,-0.16,0.16,99.88
2026-04,2026-04-07,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-08,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-09,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-10,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-11,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-12,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-13,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-14,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-15,0,0.0,0.0,-0.16,0.16,100.0
2026-04,2026-04-16,1,0.17,0.58,0.42,0.0,99.83
2026-04,2026-04-17,0,0.0,0.0,0.42,0.0,100.0
2026-04,2026-04-18,0,0.0,0.0,0.42,0.0,100.0
2026-04,2026-04-19,1,0.14,-0.14,0.28,0.14,99.86
2026-04,2026-04-20,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-21,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-22,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-23,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-24,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-25,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-26,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-27,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-28,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-29,0,0.0,0.0,0.28,0.14,100.0
2026-04,2026-04-30,0,0.0,0.0,0.28,0.14,100.0
