date,bets,staked,settled_bets,settled_profit,equity,cooldown_active,skipped_reason
2025-05-11,0,0.0,0,0.0,323.7,True,
2025-05-12,0,0.0,0,0.0,323.7,True,
2025-05-13,0,0.0,0,0.0,323.7,True,cooldown_after_losing_settlement_days
2025-05-14,0,0.0,0,0.0,323.7,True,
2025-05-15,0,0.0,0,0.0,323.7,True,
2025-05-16,0,0.0,0,0.0,323.7,True,
2025-05-17,0,0.0,0,0.0,323.7,True,
2025-05-18,0,0.0,0,0.0,323.7,True,
2025-05-19,0,0.0,0,0.0,323.7,False,
2025-05-20,0,0.0,0,0.0,323.7,False,
2025-05-21,0,0.0,0,0.0,323.7,False,
2025-05-22,0,0.0,0,0.0,323.7,False,
2025-05-23,0,0.0,0,0.0,323.7,False,
2025-05-24,0,0.0,0,0.0,323.7,False,
2025-05-25,0,0.0,0,0.0,323.7,False,
2025-05-26,0,0.0,0,0.0,323.7,False,
2025-05-27,0,0.0,0,0.0,323.7,False,
2025-05-28,0,0.0,0,0.0,323.7,False,
2025-05-29,0,0.0,0,0.0,323.7,False,
2025-05-30,0,0.0,0,0.0,323.7,False,
2025-05-31,0,0.0,0,0.0,323.7,False,
2025-06-01,0,0.0,0,0.0,323.7,False,
2025-06-02,0,0.0,0,0.0,323.7,False,
2025-06-03,0,0.0,0,0.0,323.7,False,
2025-06-04,0,0.0,0,0.0,323.7,False,
2025-06-05,0,0.0,0,0.0,323.7,False,
2025-06-06,0,0.0,0,0.0,323.7,False,
2025-06-07,0,0.0,0,0.0,323.7,False,
2025-06-08,0,0.0,0,0.0,323.7,False,
2025-06-09,0,0.0,0,0.0,323.7,False,
2025-06-10,0,0.0,0,0.0,323.7,False,
2025-06-11,0,0.0,0,0.0,323.7,False,
2025-06-12,0,0.0,0,0.0,323.7,False,
2025-06-13,0,0.0,0,0.0,323.7,False,
2025-06-14,0,0.0,0,0.0,323.7,False,
2025-06-15,0,0.0,0,0.0,323.7,False,
2025-06-16,0,0.0,0,0.0,323.7,False,
2025-06-17,0,0.0,0,0.0,323.7,False,
2025-06-18,0,0.0,0,0.0,323.7,False,
2025-06-19,0,0.0,0,0.0,323.7,False,
2025-06-20,0,0.0,0,0.0,323.7,False,
2025-06-21,0,0.0,0,0.0,323.7,False,
2025-06-22,0,0.0,0,0.0,323.7,False,
2025-06-23,0,0.0,0,0.0,323.7,False,
2025-06-24,0,0.0,0,0.0,323.7,False,
2025-06-25,0,0.0,0,0.0,323.7,False,
2025-06-26,0,0.0,0,0.0,323.7,False,
2025-06-27,0,0.0,0,0.0,323.7,False,
2025-06-28,0,0.0,0,0.0,323.7,False,
2025-06-29,0,0.0,0,0.0,323.7,False,
2025-06-30,0,0.0,0,0.0,323.7,False,
2025-07-01,0,0.0,0,0.0,323.7,False,
2025-07-02,0,0.0,0,0.0,323.7,False,
2025-07-03,0,0.0,0,0.0,323.7,False,
2025-07-04,0,0.0,0,0.0,323.7,False,
2025-07-05,0,0.0,0,0.0,323.7,False,
2025-07-06,0,0.0,0,0.0,323.7,False,
2025-07-07,0,0.0,0,0.0,323.7,False,
2025-07-08,0,0.0,0,0.0,323.7,False,
2025-07-09,0,0.0,0,0.0,323.7,False,
2025-07-10,0,0.0,0,0.0,323.7,False,
2025-07-11,0,0.0,0,0.0,323.7,False,
2025-07-12,0,0.0,0,0.0,323.7,False,
2025-07-13,0,0.0,0,0.0,323.7,False,
2025-07-14,0,0.0,0,0.0,323.7,False,
2025-07-15,0,0.0,0,0.0,323.7,False,
2025-07-16,0,0.0,0,0.0,323.7,False,
2025-07-17,0,0.0,0,0.0,323.7,False,
2025-07-18,0,0.0,0,0.0,323.7,False,
2025-07-19,0,0.0,0,0.0,323.7,False,
2025-07-20,0,0.0,0,0.0,323.7,False,
2025-07-21,0,0.0,0,0.0,323.7,False,
2025-07-22,0,0.0,0,0.0,323.7,False,
2025-07-23,0,0.0,0,0.0,323.7,False,
2025-07-24,0,0.0,0,0.0,323.7,False,
2025-07-25,0,0.0,0,0.0,323.7,False,
2025-07-26,0,0.0,0,0.0,323.7,False,
2025-07-27,0,0.0,0,0.0,323.7,False,
2025-07-28,0,0.0,0,0.0,323.7,False,
2025-07-29,0,0.0,0,0.0,323.7,False,
2025-07-30,0,0.0,0,0.0,323.7,False,
2025-07-31,0,0.0,0,0.0,323.7,False,
2025-08-01,0,0.0,0,0.0,323.7,False,
2025-08-02,0,0.0,0,0.0,323.7,False,
2025-08-03,0,0.0,0,0.0,323.7,False,
2025-08-04,0,0.0,0,0.0,323.7,False,
2025-08-05,0,0.0,0,0.0,323.7,False,
2025-08-06,0,0.0,0,0.0,323.7,False,
2025-08-07,0,0.0,0,0.0,323.7,False,
2025-08-08,0,0.0,0,0.0,323.7,False,
2025-08-09,0,0.0,0,0.0,323.7,False,
2025-08-10,0,0.0,0,0.0,323.7,False,
2025-08-11,0,0.0,0,0.0,323.7,False,
2025-08-12,0,0.0,0,0.0,323.7,False,
2025-08-13,0,0.0,0,0.0,323.7,False,
2025-08-14,0,0.0,0,0.0,323.7,False,
2025-08-15,0,0.0,0,0.0,323.7,False,
2025-08-16,0,0.0,0,0.0,323.7,False,
2025-08-17,0,0.0,0,0.0,323.7,False,
2025-08-18,0,0.0,0,0.0,323.7,False,
2025-08-19,0,0.0,0,0.0,323.7,False,
2025-08-20,0,0.0,0,0.0,323.7,False,
2025-08-21,0,0.0,0,0.0,323.7,False,
2025-08-22,1,10.0,0,0.0,323.7,False,
2025-08-23,1,10.0,1,-10.0,313.7,False,
2025-08-24,1,10.0,1,20.1,333.8,False,
2025-08-25,1,10.0,1,20.6,354.4,False,
2025-08-26,0,0.0,1,-10.0,344.4,False,
2025-08-27,0,0.0,0,0.0,344.4,False,
2025-08-28,0,0.0,0,0.0,344.4,False,
2025-08-29,0,0.0,0,0.0,344.4,False,
2025-08-30,1,10.0,0,0.0,344.4,False,
2025-08-31,1,10.0,1,-10.0,334.4,False,
2025-09-01,0,0.0,1,21.7,356.1,False,
2025-09-02,0,0.0,0,0.0,356.1,False,
2025-09-03,0,0.0,0,0.0,356.1,False,
2025-09-04,0,0.0,0,0.0,356.1,False,
2025-09-05,0,0.0,0,0.0,356.1,False,
2025-09-06,0,0.0,0,0.0,356.1,False,
2025-09-07,0,0.0,0,0.0,356.1,False,
2025-09-08,0,0.0,0,0.0,356.1,False,
2025-09-09,0,0.0,0,0.0,356.1,False,
2025-09-10,0,0.0,0,0.0,356.1,False,
2025-09-11,0,0.0,0,0.0,356.1,False,
2025-09-12,0,0.0,0,0.0,356.1,False,
2025-09-13,1,10.0,0,0.0,356.1,False,
2025-09-14,1,10.0,1,21.2,377.3,False,
2025-09-15,0,0.0,1,19.0,396.3,False,
2025-09-16,0,0.0,0,0.0,396.3,False,
2025-09-17,0,0.0,0,0.0,396.3,False,
2025-09-18,0,0.0,0,0.0,396.3,False,
2025-09-19,1,10.0,0,0.0,396.3,False,
2025-09-20,1,10.0,1,20.7,417.0,False,
2025-09-21,1,10.0,1,-10.0,407.0,False,
2025-09-22,0,0.0,1,-10.0,397.0,False,
2025-09-23,0,0.0,0,0.0,397.0,False,
2025-09-24,0,0.0,0,0.0,397.0,False,
2025-09-25,0,0.0,0,0.0,397.0,False,
2025-09-26,1,10.0,0,0.0,397.0,False,
2025-09-27,1,10.0,1,19.1,416.1,False,
2025-09-28,1,10.0,1,-10.0,406.1,False,
2025-09-29,0,0.0,1,20.8,426.9,False,
2025-09-30,1,10.0,0,0.0,426.9,False,
2025-10-01,1,10.0,1,-10.0,416.9,False,
2025-10-02,0,0.0,1,20.5,437.4,False,
2025-10-03,0,0.0,0,0.0,437.4,False,
2025-10-04,1,10.0,0,0.0,437.4,False,
2025-10-05,1,10.0,1,24.1,461.5,False,
2025-10-06,0,0.0,1,-10.0,451.5,False,
2025-10-07,0,0.0,0,0.0,451.5,False,
2025-10-08,0,0.0,0,0.0,451.5,False,
2025-10-09,0,0.0,0,0.0,451.5,False,
2025-10-10,0,0.0,0,0.0,451.5,False,
2025-10-11,0,0.0,0,0.0,451.5,False,
2025-10-12,0,0.0,0,0.0,451.5,False,
2025-10-13,0,0.0,0,0.0,451.5,False,
2025-10-14,0,0.0,0,0.0,451.5,False,
2025-10-15,0,0.0,0,0.0,451.5,False,
2025-10-16,0,0.0,0,0.0,451.5,False,
2025-10-17,0,0.0,0,0.0,451.5,False,
2025-10-18,1,10.0,0,0.0,451.5,False,
2025-10-19,1,10.0,1,-10.0,441.5,False,
2025-10-20,0,0.0,1,-10.0,431.5,True,
2025-10-21,0,0.0,0,0.0,431.5,True,
2025-10-22,0,0.0,0,0.0,431.5,True,
2025-10-23,0,0.0,0,0.0,431.5,True,
2025-10-24,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-10-25,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-10-26,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-10-27,0,0.0,0,0.0,431.5,True,
2025-10-28,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-10-29,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-10-30,0,0.0,0,0.0,431.5,True,
2025-10-31,0,0.0,0,0.0,431.5,True,
2025-11-01,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-11-02,0,0.0,0,0.0,431.5,True,cooldown_after_losing_settlement_days
2025-11-03,0,0.0,0,0.0,431.5,False,
2025-11-04,0,0.0,0,0.0,431.5,False,
2025-11-05,0,0.0,0,0.0,431.5,False,
2025-11-06,0,0.0,0,0.0,431.5,False,
2025-11-07,1,10.0,0,0.0,431.5,False,
2025-11-08,1,10.0,1,20.1,451.6,False,
2025-11-09,1,10.0,1,20.3,471.9,False,
2025-11-10,0,0.0,1,-10.0,461.9,False,
2025-11-11,0,0.0,0,0.0,461.9,False,
2025-11-12,0,0.0,0,0.0,461.9,False,
2025-11-13,0,0.0,0,0.0,461.9,False,
2025-11-14,0,0.0,0,0.0,461.9,False,
2025-11-15,0,0.0,0,0.0,461.9,False,
2025-11-16,0,0.0,0,0.0,461.9,False,
2025-11-17,0,0.0,0,0.0,461.9,False,
2025-11-18,0,0.0,0,0.0,461.9,False,
2025-11-19,0,0.0,0,0.0,461.9,False,
2025-11-20,0,0.0,0,0.0,461.9,False,
2025-11-21,0,0.0,0,0.0,461.9,False,
2025-11-22,1,10.0,0,0.0,461.9,False,
2025-11-23,1,10.0,1,-10.0,451.9,False,
2025-11-24,0,0.0,1,-10.0,441.9,True,cooldown_after_losing_settlement_days
2025-11-25,0,0.0,0,0.0,441.9,True,
2025-11-26,0,0.0,0,0.0,441.9,True,
2025-11-27,0,0.0,0,0.0,441.9,True,
2025-11-28,0,0.0,0,0.0,441.9,True,cooldown_after_losing_settlement_days
2025-11-29,0,0.0,0,0.0,441.9,True,cooldown_after_losing_settlement_days
2025-11-30,0,0.0,0,0.0,441.9,True,cooldown_after_losing_settlement_days
2025-12-01,0,0.0,0,0.0,441.9,True,
2025-12-02,0,0.0,0,0.0,441.9,True,
2025-12-03,0,0.0,0,0.0,441.9,True,
2025-12-04,0,0.0,0,0.0,441.9,True,cooldown_after_losing_settlement_days
2025-12-05,0,0.0,0,0.0,441.9,True,
2025-12-06,0,0.0,0,0.0,441.9,True,
2025-12-07,0,0.0,0,0.0,441.9,True,cooldown_after_losing_settlement_days
2025-12-08,1,10.0,0,0.0,441.9,False,
2025-12-09,0,0.0,1,22.4,464.3,False,
2025-12-10,0,0.0,0,0.0,464.3,False,
2025-12-11,0,0.0,0,0.0,464.3,False,
2025-12-12,0,0.0,0,0.0,464.3,False,
2025-12-13,1,10.0,0,0.0,464.3,False,
2025-12-14,1,10.0,1,-10.0,454.3,False,
2025-12-15,0,0.0,1,-10.0,444.3,False,
2025-12-16,0,0.0,0,0.0,444.3,False,
2025-12-17,0,0.0,0,0.0,444.3,False,
2025-12-18,0,0.0,0,0.0,444.3,False,
2025-12-19,1,10.0,0,0.0,444.3,False,
2025-12-20,0,0.0,1,-10.0,434.3,True,cooldown_after_losing_settlement_days
2025-12-21,0,0.0,0,0.0,434.3,True,cooldown_after_losing_settlement_days
2025-12-22,0,0.0,0,0.0,434.3,True,
2025-12-23,0,0.0,0,0.0,434.3,True,
2025-12-24,0,0.0,0,0.0,434.3,True,
2025-12-25,0,0.0,0,0.0,434.3,True,
2025-12-26,0,0.0,0,0.0,434.3,True,cooldown_after_losing_settlement_days
2025-12-27,0,0.0,0,0.0,434.3,True,cooldown_after_losing_settlement_days
2025-12-28,0,0.0,0,0.0,434.3,True,
2025-12-29,0,0.0,0,0.0,434.3,True,
2025-12-30,0,0.0,0,0.0,434.3,True,
2025-12-31,0,0.0,0,0.0,434.3,True,
2026-01-01,0,0.0,0,0.0,434.3,True,
2026-01-02,0,0.0,0,0.0,434.3,True,
2026-01-03,0,0.0,0,0.0,434.3,False,
2026-01-04,0,0.0,0,0.0,434.3,False,
2026-01-05,0,0.0,0,0.0,434.3,False,
2026-01-06,0,0.0,0,0.0,434.3,False,
2026-01-07,0,0.0,0,0.0,434.3,False,
2026-01-08,0,0.0,0,0.0,434.3,False,
2026-01-09,0,0.0,0,0.0,434.3,False,
2026-01-10,1,10.0,0,0.0,434.3,False,
2026-01-11,1,10.0,1,-10.0,424.3,False,
2026-01-12,0,0.0,1,24.0,448.3,False,
2026-01-13,0,0.0,0,0.0,448.3,False,
2026-01-14,0,0.0,0,0.0,448.3,False,
2026-01-15,0,0.0,0,0.0,448.3,False,
2026-01-16,1,10.0,0,0.0,448.3,False,
2026-01-17,1,10.0,1,20.6,468.9,False,
2026-01-18,0,0.0,1,24.0,492.9,False,
2026-01-19,0,0.0,0,0.0,492.9,False,
2026-01-20,0,0.0,0,0.0,492.9,False,
2026-01-21,0,0.0,0,0.0,492.9,False,
2026-01-22,0,0.0,0,0.0,492.9,False,
2026-01-23,1,10.0,0,0.0,492.9,False,
2026-01-24,1,10.0,1,-10.0,482.9,False,
2026-01-25,1,10.0,1,-10.0,472.9,False,
2026-01-26,0,0.0,1,19.6,492.5,False,
2026-01-27,0,0.0,0,0.0,492.5,False,
2026-01-28,0,0.0,0,0.0,492.5,False,
2026-01-29,0,0.0,0,0.0,492.5,False,
2026-01-30,1,10.0,0,0.0,492.5,False,
2026-01-31,1,10.0,1,-10.0,482.5,False,
2026-02-01,1,10.0,1,21.2,503.7,False,
2026-02-02,0,0.0,1,-10.0,493.7,False,
2026-02-03,0,0.0,0,0.0,493.7,False,
2026-02-04,0,0.0,0,0.0,493.7,False,
2026-02-05,0,0.0,0,0.0,493.7,False,
2026-02-06,1,10.0,0,0.0,493.7,False,
2026-02-07,1,10.0,1,-10.0,483.7,False,
2026-02-08,0,0.0,1,-10.0,473.7,True,
2026-02-09,0,0.0,0,0.0,473.7,True,
2026-02-10,0,0.0,0,0.0,473.7,True,cooldown_after_losing_settlement_days
2026-02-11,0,0.0,0,0.0,473.7,True,cooldown_after_losing_settlement_days
2026-02-12,0,0.0,0,0.0,473.7,True,
2026-02-13,0,0.0,0,0.0,473.7,True,
2026-02-14,0,0.0,0,0.0,473.7,True,cooldown_after_losing_settlement_days
2026-02-15,0,0.0,0,0.0,473.7,True,cooldown_after_losing_settlement_days
2026-02-16,0,0.0,0,0.0,473.7,True,
2026-02-17,0,0.0,0,0.0,473.7,True,
2026-02-18,0,0.0,0,0.0,473.7,True,
2026-02-19,0,0.0,0,0.0,473.7,True,
2026-02-20,0,0.0,0,0.0,473.7,True,
2026-02-21,0,0.0,0,0.0,473.7,True,cooldown_after_losing_settlement_days
2026-02-22,1,10.0,0,0.0,473.7,False,
2026-02-23,0,0.0,1,18.7,492.4,False,
2026-02-24,0,0.0,0,0.0,492.4,False,
2026-02-25,0,0.0,0,0.0,492.4,False,
2026-02-26,0,0.0,0,0.0,492.4,False,
2026-02-27,1,10.0,0,0.0,492.4,False,
2026-02-28,1,10.0,1,-10.0,482.4,False,
2026-03-01,1,10.0,1,22.2,504.6,False,
2026-03-02,0,0.0,1,20.1,524.7,False,
2026-03-03,1,10.0,0,0.0,524.7,False,
2026-03-04,1,10.0,1,-10.0,514.7,False,
2026-03-05,0,0.0,1,20.0,534.7,False,
2026-03-06,0,0.0,0,0.0,534.7,False,
2026-03-07,1,10.0,0,0.0,534.7,False,
2026-03-08,1,10.0,1,-10.0,524.7,False,
2026-03-09,0,0.0,1,-10.0,514.7,False,
2026-03-10,0,0.0,0,0.0,514.7,False,
2026-03-11,0,0.0,0,0.0,514.7,False,
2026-03-12,0,0.0,0,0.0,514.7,False,
2026-03-13,0,0.0,0,0.0,514.7,False,
2026-03-14,1,10.0,0,0.0,514.7,False,
2026-03-15,1,10.0,1,24.4,539.1,False,
2026-03-16,0,0.0,1,24.5,563.6,False,
2026-03-17,1,10.0,0,0.0,563.6,False,
2026-03-18,0,0.0,1,24.5,588.1,False,
2026-03-19,0,0.0,0,0.0,588.1,False,
2026-03-20,0,0.0,0,0.0,588.1,False,
2026-03-21,1,10.0,0,0.0,588.1,False,
2026-03-22,1,10.0,1,-10.0,578.1,False,
2026-03-23,0,0.0,1,-10.0,568.1,False,
2026-03-24,0,0.0,0,0.0,568.1,False,
2026-03-25,0,0.0,0,0.0,568.1,False,
2026-03-26,0,0.0,0,0.0,568.1,False,
2026-03-27,0,0.0,0,0.0,568.1,False,
2026-03-28,0,0.0,0,0.0,568.1,False,
2026-03-29,0,0.0,0,0.0,568.1,False,
2026-03-30,0,0.0,0,0.0,568.1,False,
2026-03-31,0,0.0,0,0.0,568.1,False,
2026-04-01,0,0.0,0,0.0,568.1,False,
2026-04-02,0,0.0,0,0.0,568.1,False,
2026-04-03,0,0.0,0,0.0,568.1,False,
2026-04-04,0,0.0,0,0.0,568.1,False,
2026-04-05,0,0.0,0,0.0,568.1,False,
2026-04-06,1,10.0,0,0.0,568.1,False,
2026-04-07,0,0.0,1,-10.0,558.1,True,
2026-04-08,0,0.0,0,0.0,558.1,True,
2026-04-09,0,0.0,0,0.0,558.1,True,
2026-04-10,0,0.0,0,0.0,558.1,True,
2026-04-11,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-12,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-13,0,0.0,0,0.0,558.1,True,
2026-04-14,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-15,0,0.0,0,0.0,558.1,True,
2026-04-16,0,0.0,0,0.0,558.1,True,
2026-04-17,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-18,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-19,0,0.0,0,0.0,558.1,True,cooldown_after_losing_settlement_days
2026-04-20,0,0.0,0,0.0,558.1,True,
2026-04-21,0,0.0,0,0.0,558.1,False,
2026-04-22,0,0.0,0,0.0,558.1,False,
2026-04-23,0,0.0,0,0.0,558.1,False,
2026-04-24,1,10.0,0,0.0,558.1,False,
2026-04-25,1,10.0,1,-10.0,548.1,False,
2026-04-26,0,0.0,1,21.0,569.1,False,
2026-04-27,0,0.0,0,0.0,569.1,False,
2026-04-28,0,0.0,0,0.0,569.1,False,
2026-04-29,0,0.0,0,0.0,569.1,False,
2026-04-30,0,0.0,0,0.0,569.1,False,
2026-05-01,1,10.0,0,0.0,569.1,False,
2026-05-02,0,0.0,1,-10.0,559.1,False,
2026-05-03,0,0.0,0,0.0,559.1,False,
2026-05-04,0,0.0,0,0.0,559.1,False,
2026-05-05,0,0.0,0,0.0,559.1,False,
2026-05-06,0,0.0,0,0.0,559.1,False,
2026-05-07,0,0.0,0,0.0,559.1,False,
2026-05-08,1,10.0,0,0.0,559.1,False,
2026-05-09,0,0.0,1,-10.0,549.1,False,
